clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,PE,RB,CA,DD,GS,SG,DP,FT,I,G,A,CV,PP,GC,ano
265,Bahia,7,Provável,1,gol,Douglas Friedrich,78584,8,13.4,7.42,7,12.57,1.44,11.13,NA,NA,NA,2,2,1,NA,14,6,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,4,mei,Élber,74140,8,-0.9,3.22,5,5.51,-0.9,6.41,2,1,2,11,9,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandinho,91130,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Paulinho,91626,8,0,4.35,2,4.86,0,4.86,3,NA,NA,NA,1,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Flávio,91102,8,0,0,1,2.25,0,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Iago,90894,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Moisés,90444,8,13.2,6.27,6,14.39,2.02,12.370000000000001,12,1,3,3,10,17,2,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Douglas,92497,8,-1.6,2.4,6,5.2,-0.82,6.0200000000000005,16,3,2,6,11,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Felipinho,94981,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Marco Antônio,94975,8,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Geovane Itinga,94980,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
