clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,A,CA,FD,FF,FS,FT,G,I,PE,RB,CV,PP,DD,DP,GS,SG,GC,ano
282,Atlético-MG,6,Nulo,5,ata,Raphael Lopes,105198,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Fellipe Bastos,70116,28,-0.3,2.71,10,4.04,-0.69,4.73,9,NA,3,2,11,3,NA,1,NA,9,13,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Victor Ferraz,70046,28,0,4.25,21,10.52,0,10.52,10,1,3,5,5,12,NA,NA,1,52,27,NA,NA,NA,NA,NA,11,NA,2019
263,Botafogo,6,Nulo,4,mei,Alan Santos,70132,28,0,0.47,4,2.8,0,2.8,5,NA,NA,NA,1,3,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Vinícius,105199,28,0,-0.15,2,1.49,-0.01,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Vinícius Popó,105201,28,0,0,2,1.28,0,1.28,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Diguinho,105282,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Bento,105208,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Iago Mendonça,105278,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Heron,105339,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,Sidão,70222,28,0,1.03,6,3.74,0,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,8,NA,8,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Flávio,105340,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Filipe Trindade,105341,28,1.5,1.5,1,1.05,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,5,ata,Eduardo Sasha,70360,28,0.1,5.45,27,16.77,-0.37,17.14,16,1,1,13,19,23,2,10,6,46,27,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Rafael Barbosa,105396,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Marllon,70666,28,0,3.53,3,4.68,0,4.68,2,NA,1,NA,2,8,NA,NA,NA,5,3,NA,NA,NA,NA,NA,1,NA,2019
290,Goiás,6,Nulo,1,gol,Felipe Mosquete,105397,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,6,tec,Fábio Carille,70696,28,3.6,4.01,26,11.59,0.15,11.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,6,tec,Jorge Sampaoli,70800,28,5.56,4.46,28,13.04,0.61,12.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Wescley,70925,28,-0.8,0.18,12,3.14,-0.34,3.48,9,NA,1,2,NA,6,NA,NA,3,14,6,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,5,ata,Joao Rojas,70784,28,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Léo Cittadini,70986,28,11,5.77,18,9.06,1.5,7.5600000000000005,16,1,2,15,9,26,NA,4,NA,19,31,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Bryan Ruíz,71019,28,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Jackson,70934,28,0,1.44,10,4.23,0,4.23,7,NA,1,1,2,10,NA,NA,1,21,6,NA,NA,NA,NA,NA,2,NA,2019
267,Vasco,6,Nulo,1,gol,Alexander,105553,28,0,6,2,9.79,0,9.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,6,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Augusto,71042,28,0,2.38,12,4.74,0,4.74,25,2,NA,9,3,15,NA,NA,3,20,12,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Bruno Henrique,70944,28,3.5,2.94,21,10.77,0.82,9.95,39,1,2,5,14,20,NA,4,NA,45,23,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Vinícius,71162,28,2.2,3.04,18,4.99,0,4.99,10,2,2,12,13,19,2,2,1,60,14,1,NA,NA,NA,NA,NA,NA,2019
267,Vasco,2,Dúvida,4,mei,Guarín,71233,28,0.9,0.97,3,6.95,-0.16,7.11,2,NA,1,NA,2,2,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,1,gol,Fernando Miguel,71571,28,1,4.15,19,7.66,-3.03,10.69,NA,NA,1,NA,NA,2,NA,NA,NA,7,NA,NA,NA,27,NA,17,7,NA,2019
276,São Paulo,5,Contundido,5,ata,Pablo,69138,28,0,3.69,7,12.68,0,12.68,12,NA,2,1,8,5,1,3,5,6,2,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Lucas Piton,105584,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Lucho González,71479,28,0,0.54,13,4.34,0,4.34,16,NA,1,2,6,3,NA,1,NA,19,4,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Lucas Bergantin,105589,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gerson Júnior,104824,28,0,0,2,0.75,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,6,tec,Jorge Jesus,71224,28,6.09,5.84,19,15.4,-0.4,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,3,zag,Fábio Sanches,71604,28,-0.3,3.42,15,3.77,-0.28,4.05,8,NA,2,2,3,15,NA,1,NA,18,13,NA,NA,NA,NA,NA,5,NA,2019
267,Vasco,6,Nulo,2,lat,Riquelme,105566,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Geovane,105635,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,1,gol,Weverton,71631,28,4.5,3.35,19,12.93,0.84,12.09,1,NA,1,NA,NA,3,NA,NA,NA,5,NA,NA,NA,24,NA,18,6,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Gabriel Fornari,105636,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Geovane,71667,28,0,0.22,16,2.2,0,2.2,39,NA,5,1,8,9,NA,NA,NA,35,21,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Agenor,71724,28,0,2.37,6,3.05,0,3.05,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,9,NA,7,1,NA,2019
267,Vasco,6,Nulo,2,lat,Raúl Cáceres,71680,28,0,-0.02,5,1.76,0,1.76,11,NA,1,1,NA,1,NA,NA,1,6,2,NA,NA,NA,NA,NA,1,NA,2019
354,Ceará,6,Nulo,4,mei,Juninho Quixadá,71787,28,0,1.5,5,3.99,0,3.99,2,NA,NA,NA,4,4,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,3,zag,Gustavo Gómez,71684,28,0,3.72,13,12.73,0,12.73,15,NA,6,4,2,13,NA,2,NA,15,19,1,NA,NA,NA,NA,4,NA,2019
264,Corinthians,6,Nulo,4,mei,Roni,105585,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,4,mei,Elton,71719,28,0,1.71,9,5.22,0,5.22,19,NA,1,1,4,NA,NA,NA,NA,15,18,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Miguel,105612,28,0,0.35,2,2.21,0,2.21,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Mauricio,105647,28,0,1.76,7,1.47,0,1.47,3,NA,NA,1,2,4,NA,1,1,10,3,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Júnior Urso,71829,28,2.7,2.17,15,6.64,-0.06,6.699999999999999,22,NA,3,8,6,16,NA,NA,1,23,23,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Talles Magno,105786,28,0,2.11,14,2.55,0,2.55,22,NA,4,6,12,29,NA,2,1,24,6,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Thiago Galhardo,71844,28,2,5.57,24,11.7,0.38,11.319999999999999,26,1,3,17,24,41,2,9,7,62,24,NA,1,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Michel,71920,28,0,2.12,16,4.91,0,4.91,28,NA,3,5,6,2,NA,NA,NA,26,40,NA,NA,NA,NA,NA,NA,2,2019
354,Ceará,7,Provável,1,gol,Diogo Silva,71882,28,1,3.39,27,10,-0.19,10.19,NA,NA,2,NA,NA,10,NA,NA,NA,11,NA,NA,NA,40,NA,28,6,NA,2019
