clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,PE,RB,SG,A,CV,FS,I,CA,G,DD,GS,DP,FT,PP,GC,ano
283,Cruzeiro,7,Provável,2,lat,Dodô,68727,30,0.7,2.76,14,5.57,-0.35,5.92,21,3,2,30,18,5,NA,NA,5,1,2,NA,NA,NA,NA,1,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,30,-2,2.78,23,5.63,-0.84,6.47,47,4,7,45,43,3,2,1,17,1,5,1,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,30,0,2.07,11,6.79,0,6.79,22,3,2,21,24,NA,NA,NA,15,1,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,30,0,2.17,16,7.31,0,7.31,20,5,5,18,9,NA,2,NA,19,4,3,2,NA,NA,NA,1,1,NA,2019
276,São Paulo,7,Provável,4,mei,Jucilei,63422,30,2.7,2.7,1,6.67,-1.33,8,2,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,1,gol,Vagner,78151,30,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,30,3.3,5.97,23,18.33,-1.7,20.029999999999998,24,20,24,65,11,NA,4,NA,89,6,3,6,NA,NA,NA,2,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,30,2.7,3.89,20,8.12,0.17,7.949999999999999,37,5,17,61,41,NA,1,NA,41,4,5,3,NA,NA,NA,NA,1,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,30,4.7,4.32,19,11.18,0.61,10.57,7,2,7,8,25,7,1,NA,3,4,4,1,NA,NA,NA,1,NA,NA,2019
285,Internacional,3,Suspenso,4,mei,Edenílson,63289,30,-2.1,2.89,23,7.9,-0.7,8.6,23,5,3,52,26,NA,2,NA,17,NA,6,5,NA,NA,NA,NA,NA,NA,2019
