clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,I,PE,RB,CA,CV,FT,SG,G,A,PP,DD,GS,DP,GC,ano
315,Chapecoense,7,Provável,4,mei,Amaral,42232,18,0,1.74,5,3.27,0,3.27,2,NA,NA,2,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Terans,102878,18,0,0.4,1,3.94,0,3.94,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,6,tec,Cuca,42411,18,1.79,3.87,17,10.12,-0.66,10.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Márcio Azevedo,42491,18,0,3.33,12,6.62,0,6.62,16,1,2,14,NA,26,8,3,NA,NA,6,NA,2,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,18,1.4,4.67,14,8.52,-1.53,10.049999999999999,NA,NA,NA,3,NA,7,NA,3,NA,NA,7,NA,NA,NA,19,10,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,18,0,3.65,4,5.38,0,5.38,6,NA,1,4,NA,9,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,1,gol,Fábio,37656,18,-2.6,3.19,15,9.3,-2.39,11.690000000000001,NA,NA,NA,1,NA,6,NA,1,NA,NA,5,NA,NA,NA,18,21,2,NA,2019
356,Fortaleza,6,Nulo,5,ata,Romarinho Gouveia,102891,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,18,0,5.96,12,13.81,0,13.81,11,2,2,18,NA,43,24,2,NA,NA,7,NA,2,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Luan,102909,18,0,0.03,9,2.57,0,2.57,16,1,1,2,NA,14,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rhuan,102958,18,0,-0.3,2,0.77,0,0.77,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,18,3.9,1.45,2,4.4,-0.23,4.630000000000001,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Matheus Teixeira,102907,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Ernando,49651,18,0,4.64,8,10.78,0,10.78,2,NA,NA,4,NA,3,4,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Júlio César,49673,18,0,4.67,7,7.93,0,7.93,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,15,11,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Zé Ricardo,102911,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Régis,102999,18,0.3,0.86,7,3.43,0.08,3.35,5,2,5,2,1,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Vini Locatelli,102998,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Tharlis,102997,18,0,1.7,2,2.84,0,2.84,2,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
