clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
265,Bahia,6,Nulo,1,gol,Anderson,38001,27,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2019
283,Cruzeiro,7,Provável,5,ata,Fred,38162,27,8.1,2.26,22,7.13,2.19,4.9399999999999995,3,8,35,12,10,33,5,12,46,NA,4,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,27,0,5,1,7.07,0,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,27,0.5,3.01,21,6.2,0.25,5.95,2,5,42,4,7,16,1,1,44,NA,41,NA,1,3,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,27,3.8,4.28,17,8.45,-1.48,9.93,1,5,31,5,14,35,3,2,53,1,37,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,27,0,2.87,9,7.72,0,7.72,2,4,11,1,2,5,2,NA,28,NA,11,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,27,1.3,2.02,12,5.89,-0.45,6.34,NA,2,14,NA,9,7,NA,1,23,NA,16,1,NA,1,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Didira,63178,27,0,1.39,13,5.3,0,5.3,NA,3,14,2,3,14,NA,NA,21,NA,17,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Paulão,63172,27,0.2,3.5,4,4.92,-0.57,5.49,NA,NA,2,1,NA,2,NA,NA,4,NA,6,NA,NA,1,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,27,1.4,3.22,20,8.67,-0.47,9.14,1,4,17,4,3,17,5,NA,42,NA,22,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,27,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,3,zag,Rodrigo Moledo,63354,27,0,4.46,9,6.3,0,6.3,NA,1,3,2,1,2,1,NA,5,NA,12,NA,NA,3,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,5,ata,André,68690,27,-3.3,2.17,16,7.31,-1.32,8.629999999999999,2,3,20,5,5,19,2,4,18,1,9,1,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,27,5.1,2.27,15,5.23,0.73,4.5,NA,2,14,13,11,20,1,7,14,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,27,-1.5,2.23,10,6.62,-0.98,7.6,NA,4,22,3,2,14,NA,1,21,NA,24,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Henrique Almeida,68773,27,8.7,3.45,7,5.22,1.57,3.6499999999999995,NA,1,7,3,8,6,1,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,27,2.1,6.2,20,13.45,-1.12,14.57,4,4,22,7,5,28,2,NA,48,NA,28,1,NA,10,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Amaral,72071,27,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,2,lat,Rafael Galhardo,68821,27,-1.1,5.09,12,4.29,-1.69,5.98,3,NA,8,3,2,6,2,1,22,NA,12,NA,1,4,NA,NA,NA,NA,2019
