clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,RB,SG,DD,GS,DP,FT,PP,CV,GC,ano
290,Goiás,6,Nulo,4,mei,Breno,106083,17,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Alex Santana,85465,17,3,4.69,13,10.37,-0.53,10.899999999999999,NA,2,10,6,13,18,4,NA,17,9,NA,NA,NA,NA,1,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Jonathan,106161,17,1.3,1.3,1,2.15,0.15,2,NA,NA,3,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Léo,85626,17,0,-1,1,3.67,0,3.67,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,17,6.2,5.6,12,13.06,-0.73,13.790000000000001,3,3,16,3,4,18,NA,NA,27,19,6,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Wanderson,86143,17,0,-2.5,1,1.68,0,1.68,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Mosquera,86116,17,0.5,0.5,3,2.33,-0.36,2.69,NA,NA,2,NA,2,3,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Marlone,80944,17,-0.7,1.58,12,5.31,-1.27,6.58,NA,1,7,NA,6,7,1,1,16,7,NA,NA,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Borja,86120,17,0,2.1,1,5.88,0,5.88,NA,NA,2,2,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Aylon,85930,17,2,1.12,7,2.67,0.52,2.15,1,2,3,1,NA,7,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Jair,81091,17,4.6,3.58,8,7.05,0.34,6.71,NA,2,15,NA,1,13,1,NA,12,19,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,5,Contundido,2,lat,Mayke,81150,17,0,-0.3,1,7.71,0,7.71,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,5,ata,Biro Biro,80949,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Clayton,81770,17,0,0.6,1,3.92,0,3.92,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Oswaldo Henríquez,81241,17,-0.3,2.84,10,3.53,-1.05,4.58,NA,2,7,1,NA,3,NA,NA,16,10,4,NA,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Hyoran,85931,17,0,6.17,3,6.59,0,6.59,1,NA,5,3,4,4,NA,NA,6,4,NA,NA,NA,NA,1,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Cazares,81682,17,3.5,5.46,10,11.02,0.37,10.65,NA,NA,8,16,10,3,4,NA,42,5,NA,NA,NA,NA,1,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Carlos Sánchez,81677,17,0.7,5.26,16,12.96,-0.06,13.020000000000001,3,2,21,10,11,31,5,3,53,15,NA,NA,NA,NA,2,1,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Alisson,81845,17,0,4.23,7,7.5,0,7.5,3,3,7,4,3,11,NA,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Henrique Dourado,81905,17,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Igor Julião,81951,17,5,2.42,10,4.23,0.69,3.5400000000000005,NA,1,13,2,1,13,NA,NA,10,14,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,4,mei,Bruno Nazário,81776,17,0,1.65,7,2.36,0,2.36,NA,1,5,5,3,10,NA,NA,11,2,NA,NA,NA,NA,1,NA,NA,NA,2019
315,Chapecoense,6,Nulo,1,gol,João Ricardo,81881,17,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Cueva,82411,17,0,1.25,4,6.83,0,6.83,NA,NA,2,NA,NA,3,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,5,ata,Rossi,81798,17,-3.1,0.79,11,3.16,-0.84,4,1,4,17,6,8,13,NA,1,28,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,1,gol,Tadeu,82453,17,-3.8,5.06,16,12.85,-1.95,14.799999999999999,NA,NA,NA,NA,NA,5,NA,NA,12,NA,4,35,25,1,NA,NA,NA,NA,2019
