clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,RB,DD,GS,PE,SG,A,CV,FD,FF,FS,FT,G,I,DP,PP,GC,ano
267,Vasco,6,Nulo,4,mei,Marquinho,50407,15,1.2,0.9,5,4.67,-0.09,4.76,NA,8,5,NA,NA,5,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Gustavo Scarpa,87999,15,0,1.73,8,3.78,0,3.78,1,5,3,NA,NA,18,NA,NA,NA,5,4,4,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Daniel Guedes ,88225,15,0,2.32,11,4.89,0,4.89,1,17,17,NA,NA,31,3,NA,NA,1,2,6,NA,NA,2,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Gabriel Dias,88368,15,0,1.87,12,4.29,0,4.29,3,12,19,NA,NA,14,NA,NA,NA,1,3,14,NA,NA,1,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Léo,50459,15,0,2.47,11,7.01,0,7.01,1,14,15,NA,NA,11,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,15,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Marlon,88427,15,0,1.05,8,3.77,0,3.77,NA,4,5,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,15,6.6,3.71,9,9.45,0.68,8.77,1,9,14,NA,NA,22,3,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Apodi,51042,15,4.4,0.96,13,4.52,0.81,3.7099999999999995,3,24,6,NA,NA,30,4,NA,NA,3,3,10,NA,NA,1,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,15,0,4.4,2,5.26,0,5.26,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,15,0,1.03,7,2.79,0,2.79,1,7,6,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,15,7.7,9.63,3,8.01,0.96,7.05,NA,NA,NA,7,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Leandro Carvalho,88669,15,2,3.33,13,10.54,0.16,10.379999999999999,2,9,10,NA,NA,15,NA,1,NA,3,11,17,NA,2,1,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Vinícius Tanque,88651,15,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,15,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Bruno Sávio,89101,15,-0.3,1.63,4,2.22,-0.43,2.6500000000000004,NA,2,4,NA,NA,6,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,15,1.3,0.98,12,4.09,-0.35,4.4399999999999995,NA,5,5,NA,NA,24,2,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,15,-0.3,2.6,6,5.62,-1.25,6.87,NA,3,4,NA,NA,9,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Jean,89150,15,0,0.93,3,3.57,0,3.57,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,2,lat,Thiago Carleto,51700,15,0,2.6,4,7.44,0,7.44,NA,4,2,NA,NA,16,2,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Ralf,52190,15,0,4.41,9,11.51,0,11.51,1,9,25,NA,NA,16,NA,NA,NA,1,1,17,1,NA,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,4,mei,Everton Ribeiro,51772,15,-0.5,3.47,12,11.53,-1.53,13.059999999999999,1,12,15,NA,NA,42,NA,3,NA,4,3,20,NA,1,1,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Caju,89342,15,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,5,ata,Felipe Vizeu,94138,15,0,0.67,9,2.41,0,2.41,NA,9,NA,NA,NA,7,NA,NA,NA,NA,4,3,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,João Pedro ,89273,15,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Réver,52253,15,2.2,4.42,12,11.87,-0.47,12.34,NA,2,22,NA,NA,17,3,NA,NA,2,4,6,1,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Raphael Veiga,94509,15,4.5,2.95,6,7.79,0.8,6.99,NA,5,3,NA,NA,7,NA,NA,NA,3,4,6,NA,1,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,5,ata,Rony,91607,15,0.8,5.46,10,12.51,-0.77,13.28,3,26,9,NA,NA,16,NA,2,NA,8,11,21,1,3,2,NA,NA,NA,2019
276,São Paulo,7,Provável,3,zag,Arboleda,91573,15,0,0.89,7,5.6,0,5.6,3,12,6,NA,NA,13,2,NA,NA,NA,2,4,NA,NA,1,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Marcinho,95332,15,0,-0.47,3,1.82,0,1.82,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,5,ata,Pedro,94583,15,0,5.88,10,11.75,0,11.75,NA,6,4,NA,NA,9,NA,NA,NA,6,8,7,1,5,3,NA,NA,NA,2019
