rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
24;294;283;1;2;Coritiba;Cruzeiro;2014;24/09/2014 19:30;Couto Pereira
24;315;293;3;0;Chapecoense;Atlético-PR;2014;24/09/2014 21:00;Arena Condá
24;316;264;1;0;Figueirense;Corinthians;2014;24/09/2014 22:00;Estádio Orlando Scarpelli
25;263;284;0;2;Botafogo;Grêmio;2014;28/09/2014 16:00;Maracanã
25;265;262;2;1;Bahia;Flamengo;2014;28/09/2014 16:00;Fonte Nova
25;276;266;1;3;São Paulo;Fluminense;2014;27/09/2014 21:00;Morumbi
25;277;290;2;0;Santos;Goiás;2014;28/09/2014 18:30;Pacaembu
25;282;287;2;0;Atlético-MG;Vitória;2014;28/09/2014 16:00;Independência
25;285;294;4;2;Internacional;Coritiba;2014;28/09/2014 18:30;Beira-Rio
25;292;283;0;0;Sport;Cruzeiro;2014;27/09/2014 18:30;Ilha do Retiro
25;293;264;1;0;Atlético-PR;Corinthians;2014;28/09/2014 16:00;Arena da Baixada
25;315;288;1;1;Chapecoense;Criciúma;2014;27/09/2014 18:30;Arena Condá
25;316;275;3;1;Figueirense;Palmeiras;2014;28/09/2014 18:30;Estádio Orlando Scarpelli
26;262;277;0;1;Flamengo;Santos;2014;04/10/2014 16:20;Maracanã
26;264;292;3;0;Corinthians;Sport;2014;04/10/2014 18:30;Arena Corinthians
26;266;265;1;1;Fluminense;Bahia;2014;04/10/2014 16:20;Mané Garrincha
26;275;315;4;2;Palmeiras;Chapecoense;2014;02/10/2014 19:30;Pacaembu
26;283;285;2;1;Cruzeiro;Internacional;2014;04/10/2014 18:30;Mineirão
26;284;276;0;1;Grêmio;São Paulo;2014;04/10/2014 16:20;Arena do Grêmio
26;287;263;2;1;Vitória;Botafogo;2014;04/10/2014 16:20;Manoel Barradas
26;288;282;3;1;Criciúma;Atlético-MG;2014;04/10/2014 18:30;Estádio Heriberto Hülse
26;290;316;1;0;Goiás;Figueirense;2014;04/10/2014 21:00;Serra Dourada
26;294;293;1;0;Coritiba;Atlético-PR;2014;04/10/2014 16:20;Couto Pereira
27;263;275;0;1;Botafogo;Palmeiras;2014;08/10/2014 19:30;Maracanã
27;266;282;0;0;Fluminense;Atlético-MG;2014;09/10/2014 19:30;Maracanã
27;276;293;1;0;São Paulo;Atlético-PR;2014;08/10/2014 19:30;Morumbi
27;277;265;1;0;Santos;Bahia;2014;09/10/2014 19:30;Vila Belmiro
27;283;264;0;1;Cruzeiro;Corinthians;2014;08/10/2014 22:00;Mineirão
27;284;292;2;0;Grêmio;Sport;2014;08/10/2014 22:00;Arena do Grêmio
27;287;290;2;2;Vitória;Goiás;2014;08/10/2014 21:00;Manoel Barradas
27;294;288;1;0;Coritiba;Criciúma;2014;08/10/2014 19:30;Couto Pereira
27;315;285;5;0;Chapecoense;Internacional;2014;09/10/2014 20:30;Arena Condá
27;316;262;1;2;Figueirense;Flamengo;2014;08/10/2014 22:00;Estádio Orlando Scarpelli
28;262;283;3;0;Flamengo;Cruzeiro;2014;12/10/2014 16:00;Maracanã
28;263;264;1;1;Botafogo;Corinthians;2014;11/10/2014 18:30;Arena Corinthians
28;265;315;0;1;Bahia;Chapecoense;2014;12/10/2014 16:00;Fonte Nova
28;275;284;2;1;Palmeiras;Grêmio;2014;11/10/2014 21:00;Pacaembu
28;282;276;1;0;Atlético-MG;São Paulo;2014;12/10/2014 16:00;Independência
28;285;266;2;1;Internacional;Fluminense;2014;12/10/2014 16:00;Beira-Rio
28;288;277;3;0;Criciúma;Santos;2014;12/10/2014 18:30;Heriberto Hulse
28;290;294;3;0;Goiás;Coritiba;2014;11/10/2014 18:30;Serra Dourada
28;292;287;1;2;Sport;Vitória;2014;12/10/2014 18:30;Ilha do Retiro
28;293;316;3;0;Atlético-PR;Figueirense;2014;12/10/2014 18:30;Arena da Baixada
29;263;292;1;1;Botafogo;Sport;2014;19/10/2014 18:30;Maracanã
29;266;288;4;2;Fluminense;Criciúma;2014;18/10/2014 18:30;Maracanã
29;275;277;1;3;Palmeiras;Santos;2014;19/10/2014 16:00;Pacaembu
29;276;265;2;1;São Paulo;Bahia;2014;18/10/2014 18:30;Morumbi
29;282;315;1;0;Atlético-MG;Chapecoense;2014;18/10/2014 21:00;Independência
29;285;264;1;2;Internacional;Corinthians;2014;19/10/2014 16:00;Beira-Rio
29;287;283;0;1;Vitória;Cruzeiro;2014;19/10/2014 18:30;Manoel Barradas
29;290;284;0;0;Goiás;Grêmio;2014;18/10/2014 18:30;Serra Dourada
29;293;262;2;1;Atlético-PR;Flamengo;2014;19/10/2014 16:00;Arena da Baixada
29;316;294;4;0;Figueirense;Coritiba;2014;19/10/2014 16:00;Estádio Orlando Scarpelli
30;262;285;2;0;Flamengo;Internacional;2014;22/10/2014 19:30;Maracanã
30;264;287;2;1;Corinthians;Vitória;2014;22/10/2014 19:30;Arena Pantanal
30;265;282;1;1;Bahia;Atlético-MG;2014;21/10/2014 21:50;Fonte Nova
30;277;266;0;1;Santos;Fluminense;2014;22/10/2014 22:00;Vila Belmiro
30;283;275;1;1;Cruzeiro;Palmeiras;2014;22/10/2014 19:30;Mineirão
30;284;316;1;0;Grêmio;Figueirense;2014;22/10/2014 21:00;Arena do Grêmio
30;288;293;0;1;Criciúma;Atlético-PR;2014;22/10/2014 19:30;Heriberto Hulse
30;292;290;0;1;Sport;Goiás;2014;22/10/2014 22:30;Ilha do Retiro
30;294;263;2;0;Coritiba;Botafogo;2014;22/10/2014 21:00;Couto Pereira
30;315;276;0;0;Chapecoense;São Paulo;2014;22/10/2014 22:00;Arena Condá
31;263;262;2;1;Botafogo;Flamengo;2014;25/10/2014 21:00;Arena Amazônia
31;266;293;2;1;Fluminense;Atlético-PR;2014;25/10/2014 16:20;Maracanã
31;275;264;1;1;Palmeiras;Corinthians;2014;25/10/2014 16:20;Pacaembu
31;276;290;3;0;São Paulo;Goiás;2014;27/10/2014 20:30;Morumbi
31;282;292;3;2;Atlético-MG;Sport;2014;25/10/2014 18:30;Independência
