rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
21;263;292;2;0;Botafogo;Sport;2018;25/08/2018 21:00;Engenhão
21;276;354;1;0;São Paulo;Ceará;2018;26/08/2018 11:00;Morumbi
21;277;265;2;0;Santos;Bahia;2018;25/08/2018 16:00;Vila Belmiro
21;264;289;1;0;Corinthians;Paraná;2018;25/08/2018 19:00;Arena Corinthians
21;285;275;0;0;Internacional;Palmeiras;2018;26/08/2018 16:00;Beira-Rio
22;283;285;0;0;Cruzeiro;Internacional;2018;02/09/2018 19:00;Mineirão
22;293;265;2;0;Atlético-PR;Bahia;2018;02/09/2018 16:00;Arena da Baixada
22;315;275;1;2;Chapecoense;Palmeiras;2018;02/09/2018 19:00;Arena Condá
22;287;327;1;0;Vitória;América-MG;2018;01/09/2018 16:00;Barradão
22;267;277;0;3;Vasco;Santos;2018;01/09/2018 19:00;Maracanã
22;262;354;0;1;Flamengo;Ceará;2018;02/09/2018 11:00;Maracanã
22;276;266;1;1;São Paulo;Fluminense;2018;02/09/2018 16:00;Morumbi
22;292;289;1;0;Sport;Paraná;2018;02/09/2018 16:00;Ilha do Retiro
22;264;282;1;1;Corinthians;Atlético-MG;2018;01/09/2018 21:00;Arena Corinthians
22;284;263;4;0;Grêmio;Botafogo;2018;01/09/2018 16:00;Arena do Grêmio
23;;;2;0;Palmeiras;Atlético-PR;2018;05/09/2018 21:00;Arena Palmeiras
23;;;2;0;Bahia;Sport;2018;05/09/2018 19:30;Fonte Nova
23;;;1;1;Botafogo;Cruzeiro;2018;05/09/2018 19:30;Engenhão
23;;;2;1;Ceará;Corinthians;2018;05/09/2018 20:00;Castelão (CE)
23;;;1;1;Paraná;Chapecoense;2018;05/09/2018 21:00;Durival Britto
23;;;1;0;Atlético-MG;São Paulo;2018;05/09/2018 21:45;Independência
23;;;2;1;Internacional;Flamengo;2018;05/09/2018 21:45;Beira-Rio
23;;;0;0;Fluminense;Vitória;2018;06/09/2018 19:00;Maracanã
23;;;0;0;Santos;Grêmio;2018;06/09/2018 19:00;Pacaembu
23;;;2;1;América-MG;Vasco;2018;06/09/2018 20:00;Independência
24;282;293;3;1;Atlético-MG;Atlético-PR;2018;10/09/2018 20:00;Independência
24;289;277;0;2;Paraná;Santos;2018;09/09/2018 19:00;Durival Britto
24;327;354;0;0;América-MG;Ceará;2018;09/09/2018 16:00;Independência
24;287;267;1;0;Vitória;Vasco;2018;09/09/2018 19:00;Barradão
24;266;263;1;0;Fluminense;Botafogo;2018;09/09/2018 16:00;Maracanã
24;262;315;2;0;Flamengo;Chapecoense;2018;08/09/2018 21:00;Maracanã
24;276;265;1;0;São Paulo;Bahia;2018;08/09/2018 19:00;Morumbi
24;292;283;0;0;Sport;Cruzeiro;2018;08/09/2018 16:00;Ilha do Retiro
24;275;264;1;0;Palmeiras;Corinthians;2018;09/09/2018 16:00;Arena Palmeiras
24;285;284;1;0;Internacional;Grêmio;2018;09/09/2018 16:00;Beira-Rio
25;;;2;0;Ceará;Vitória;2018;15/09/2018 16:00;Castelão (CE)
25;;;2;0;Grêmio;Paraná;2018;15/09/2018 16:00;Arena do Grêmio
25;;;1;1;Vasco;Flamengo;2018;15/09/2018 19:00;Mané Garrincha
25;;;1;0;Botafogo;América-MG;2018;16/09/2018 11:00;Engenhão
25;;;0;0;Cruzeiro;Atlético-MG;2018;16/09/2018 16:00;Mineirão
25;;;3;1;Atlético-PR;Fluminense;2018;16/09/2018 16:00;Arena da Baixada
25;;;1;1;Bahia;Palmeiras;2018;16/09/2018 16:00;Fonte Nova
25;;;0;0;Santos;São Paulo;2018;16/09/2018 16:00;Vila Belmiro
25;;;2;1;Corinthians;Sport;2018;16/09/2018 19:00;Arena Corinthians
25;;;2;1;Chapecoense;Internacional;2018;17/09/2018 20:00;Arena Condá
26;;;1;1;São Paulo;América-MG;2018;22/09/2018 16:00;Morumbi
26;;;3;2;Grêmio;Ceará;2018;23/09/2018 11:00;Arena do Grêmio
26;;;3;0;Atlético-PR;Paraná;2018;23/09/2018 16:00;Arena da Baixada
26;;;2;1;Flamengo;Atlético-MG;2018;23/09/2018 16:00;Maracanã
26;;;1;1;Corinthians;Internacional;2018;23/09/2018 16:00;Arena Corinthians
26;;;3;4;Vitória;Botafogo;2018;23/09/2018 18:00;Barradão
26;;;0;1;Sport;Palmeiras;2018;23/09/2018 18:00;Ilha do Retiro
26;;;2;1;Cruzeiro;Santos;2018;23/09/2018 19:00;Mineirão
26;;;1;2;Chapecoense;Fluminense;2018;24/09/2018 20:00;Arena Condá
